German,Slovak
bis,až do
wurde,sa stal
leid,utrpenie
na,n / a
kannst,môcť
macht,moc
dieser,toto
zurÃ¼ck,späť
lassen,povoliť
hallo,Ahoj
meinen,myslieť si
gott,Boha
seine,jeho
hÃ¤tte,mať
zwei,dva
kÃ¶nnte,možno
genau,Súhlasím
waren,boli
zur,na
lass,nechať
klar,jasný
morgen,ranný
leute,Ľudia
vater,otec
schÃ¶n,krása
glaube,veriť
mr.,Pán.
ab,preč
gerade,len
tag,Dňom
gesehen,pozorovaný
reden,rozprávať sa
wohl,pravdepodobne
liebe,láska
sollte,by mal
sagte,uviedol
unsere,náš
jemand,niekto
geld,peniaze
durch,prostredníctvom
ob,ak
keinen,nefajčiarsky
mutter,matka
raus,Von
gemacht,vyrobený
paar,dvojica
mach,makeup
passiert,Stalo
dachte,myšlienka
besser,lepší
musst,musieť
wieso,ako to
sir,pane
dieses,toto
selbst,dokonca
gehÃ¶rt,patriaci
mÃ¶chte,chcieť
ohne,bez
hÃ¶r,jamka
her,zapnutý
sag,povedať
meiner,baňa
anderen,iní
helfen,Pomoc
nacht,v noci
finden,Nájsť
diesen,toto
gute,kvalita
wirst,stať sa
lange,Dlhý
natÃ¼rlich,záruka
ach,Oh
meinem,môj
gar,dokonca
ins,do
sei,možno
dort,tam
weiter,ďalej
geben,dať
seit,od
gleich,rovnaký
sagt,povie
recht,Právo
ihren,ich
richtig,správny
ordnung,objednať
vom,z
hÃ¶ren,vypočuť
sieht,viditeľný
davon,odtiaľto
dafÃ¼r,pre to
geh,ísť
diesem,Toto
wegen,pretože
hause,Domov
sollten,by mal
mÃ¤dchen,dievča
hin,tam
sollen,by mal
abend,večer
haus,Dom
denke,myslieť si
viele,rozsudok
drei,tri
deinen,váš
freund,priateľ
guten,dobrý
unser,náš
warte,čakať
machst,urobiť
menschen,Ľudia
essen,stíhať
angst,strach
bleiben,zostať
zusammen,spoločne
welt,svet
unter,pod
habt,mať
schnell,rýchly
andere,druhý
tot,mŕtvy
getan,sprostý
darf,povolený
erst,najprv
rein,čistý
stimmt,Správny
nehmen,zobrat
kinder,deťom
eines,jeden
glauben,veriť
bringen,priniesť
ganze,celkový
genug,dosť
scheiÃŸe,hovno
brauchen,potreba
gegen,proti
moment,moment
junge,Chlapec
steht,stojany
sonst,inak
musik,hudba
arbeit,práca
seid,sú
ihrer,ich
fragen,opýtať sa
herr,Pán
dabei,zahrnutý
heiÃŸt,nádejný
familie,rodina
warten,čakanie
niemand,nikto
sofort,hneď
bevor,predtým
jahre,rok
einmal,raz
problem,problém
sohn,syn
wann,kedy
brauche,potreba
fertig,skončený
halt,zastávka
allein,sám
beim,na
sprechen,rozprávať
beide,obaja
gefunden,našiel
hatten,mať
sache,záležitosť
hilfe,Pomoc
verdammt,Dočerta
ne,čím
jeder,všetci
warst,bezbožný
gern,s radosťou
konnte,bystrý
darÃ¼ber,o tom
halten,uchovávať
siehst,pozrieť sa
verstehe,rozumieť
jahren,Rok
kam,prišiel
kind,dieťaťa
wusste,vedel
wahr,pravda
seinen,jeho
dazu,na
bruder,bratia
daran,k nemu
ihrem,Váš
denken,myslieť si
kÃ¶nnten,bystrý
dank,vďaka
wÃ¼rden,byť
lieber,skôr
fall,puzdro
deiner,váš
sehe,pozrieť sa
egal,bez ohľadu na to
kennen,nechať
deinem,váš
vergessen,zabudnúť
frage,opýtať sa
mache,urobiť
komme,prísť
sage,legenda
mag,Páči sa mi to
sieh,vzhľad
echt,reálny
gib,dať
eigentlich,vlastne
jeden,každý
dad,ocko
gab,dal
uhr,Hodina
stadt,mesto
mÃ¤nner,muž
baby,detský
fahren,pohon
namen,názov
bekommen,prijať
kopf,hlava
hi,Ahoj
gehe,ísť
kleine,malý
spÃ¤ter,neskôr
glÃ¼ck,šťastie
letzte,najnovší
freunde,priatelia
n,n
all,Alles
darauf,na ňom
ende,koniec
dr.,DR.
bald,čoskoro
tÃ¶ten,zabiť
dinge,vecí
meinst,priemerný
toll,Skvelý
eins,jeden
minuten,minútu
vielen,mnoho
bereit,pripravený
weit,ďaleko
ahnung,nápad
seiner,jeho
bisschen,malý
tÃ¼r,veža
auto,automobilový
jungs,chlapci
eure,váš
augen,oči
polizei,polícia
stehen,stáť
sterben,zomrieť
hÃ¤tten,existovať
drauÃŸen,von
kenne,nechať
fast,takmer
runter,dole
vorbei,minulosť
treffen,splniť
gerne,s radosťou
dran,si na rade
wurden,sa stal
arbeiten,práca
mom,Mama
verrÃ¼ckt,blázon
neue,Nový
ging,šiel
hinter,Za sebou
sorgen,starať sa o
einzige,len
jemanden,niekto
darum,teda
tochter,dcéra
braucht,potreba
idee,nápad
schwester,sestra
drin,v ňom
ruhig,pokojný
sah,píliť
ganzen,celkový
spÃ¤t,neskoro
ziemlich,skoro
solltest,dozor
name,Priezvisko
sogar,dokonca
kurz,krátky
kerl,Chlap
frauen,ženy
liegt,lži
suchen,Hľadám
finde,Nájsť
je,vôbec
woher,odkiaľ
lang,dlhý
job,zamestnanie
keiner,nefajčiarsky
seinem,jeho
hÃ¶rt,tvrdý
verstehen,rozumieť
spielen,hrať
s.,S.
Ã¼berhaupt,Vôbec
teufel,Diabol
verstanden,rozumiem
verloren,stratený
groÃŸe,veľký
hand,ruka
grund,dôvod
jahr,rok
kommst,prísť
mama,múmie
ruhe,Tichý
gewesen,Bol
tod,smrť
stunden,hodina
hoffe,nádej
denkst,myslieť si
oben,vyššie
gestern,včera
versuchen,pokúsiť sa
art,milý
letzten,posledný
schatz,poklad
endlich,nakoniec
he,hlava
nimm,podať
etwa,o
erzÃ¤hlt,zrejmý
lÃ¤uft,spustiť
schwer,ťažký
anders,rôzny
miss,chýbať
musste,musel
fÃ¼nf,päťdesiat
wasser,voda
lÃ¤sst,štrbina
erste,najprv
versucht,pokúšať sa
gekommen,prišiel
geschichte,príbeh
wenig,malý
holen,načítať
bedeutet,prostriedok
nett,milý
wahrheit,pravda
woche,týždeň
bringt,prináša
deshalb,pre tento dôvod
welche,Ktoré
bestimmt,určite
hoch,vysoký
alter,Vek
sagst,povie
schau,šou
ah,Ah
land,krajina
zimmer,miestnosť
wagen,odvážiť sa
vier,štyri
gefallen,Páči sa mi to
spaÃŸ,spazmus
niemals,V žiadnom prípade
schuld,zamotať
getÃ¶tet,vyzlečený
wollten,chcel
verlassen,opúšťať
zeigen,ukázať
beste,najlepší
ernst,vážny
unserer,náš
denen,k nim
ort,miesto
bleibt,zvyšky
wÃ¼rdest,veľkoobchod
manchmal,niekedy
glaubst,veriť
seite,bok
lasst,vyberať
zwischen,medzi
eben,len
wÃ¤hrend,zatiaľ čo
spiel,hra
nehme,podať
ersten,najprv
guter,tovar
chance,šanca
freundin,priateľka
krieg,vojna
gefÃ¤llt,spadnúť
kleinen,malý
erzÃ¤hlen,povie
anderes,druhý
tage,dňom
entschuldigen,sa ospravedlniť
wichtig,dôležitý
gehst,ísť
allen,všetko
bett,posteľ
mrs.,PANI.
sachen,vetva
the,t
schlecht,zlý
schule,škola
entschuldigung,ospravedlnenie
wort,svorka
john,John
hÃ¤ttest,klobúk
wÃ¤ren,urobiť
typ,Typ
schlafen,spánok
Ã¤h,Äh
tu,tuk
euer,váš
captain,veliteľ
gesicht,tvár
falls,ak
neuen,Nový
bloÃŸ,kvet
unten,nižšie
teil,časť
beiden,obaja
mensch,osoba
kleiner,menší
stellen,miesto
oft,často
sorge,starosti
gedacht,myšlienka
tust,tuk
trinken,piť
einige,nejaký
dies,toto
ding,vec
unseren,Náš
kriegen,dostať sa
blut,krv
ehrlich,Úprimne
eltern,rodičia
scheint,zdá sa
herz,Srdce
jack,Jack
glÃ¼cklich,šťastný
alte,starý
alt,starý
bleib,pobyt
wiedersehen,spánok
frei,zadarmo
wen,koho
drauf,na to
mÃ¶glich,pravdepodobne
irgendwie,nejako
reicht,postačuje
fest,pevný
besten,najlepší
waffe,zbraň
kaum,sotva
irgendwas,čokoľvek
klingt,zvuk
platz,priestoru
brauchst,potreba
rede,reč
papa,otec
falsch,nesprávne
sondern,ale
alten,starý
nummer,číslo
frÃ¼her,skorší
jungen,chlapci
wohin,kde
auÃŸer,vonku
frÃ¼h,strašidlo
setzen,nasadiť sa
zuerst,najprv
wahrscheinlich,pravdepodobne
dÃ¼rfen,rozteč
jede,každý
arsch,zadok
telefon,telefón
tue,robiť
kennst,nechať
willkommen,vítaný
plan,plán
groÃŸen,vysoký
retten,záchranu
hierher,tu
wÃ¤r,vetriť
bring,priniesť
fehler,chyba
wollt,chcieť
dollar,dolár
zehn,desať
allem,všetko
pass,cestovný pas
nÃ¤chste,Ďalšie
stunde,hodina
hÃ¤nde,ruka
gegeben,daný
menge,suma
langsam,spomaliť
bereits,už
wartet,čakať
sechs,šesť
lieben,láska
meines,baňa
bÃ¼ro,kancelária
nÃ¤chsten,Ďalšie
gebe,podanie
wochen,týždenný
ruf,zavolať
schaffen,vytvárať
leider,Bohužiaľ
scheiÃŸ,hovno
hÃ¶lle,hala
trotzdem,Napriek tomu
doktor,lekára
tja,dobre
new,Nový
voll,plne
film,Film
Ã¼berall,Celkovo
hund,pes
geworden,stať sa
direkt,priamy
wolltest,žiadaný
tat,sprostý
denkt,myslieť
schiff,loď
neues,Nový
wem,koho
kÃ¶nig,kráľ
danach,potom
funktioniert,funkcie
hattest,mať
lernen,učiť sa
deswegen,kvôli tomu
wow,Wow
nennen,pomenovať
hm,Hm
feuer,Oheň
laufen,bežať
alleine,sám
erinnern,vyvolať
vÃ¶llig,plný
kleines,malý
kÃ¶nnt,chanlivý
stelle,Zamestnanie
kumpel,Frajer
verlieren,stratiť
probleme,problém
spricht,hovoriť
kaffee,káva
luft,vzduch
fand,našiel
i,Ja
entschuldige,Ospravedlnte ma
ziehen,kresliť
verschwinden,zmiznúť
kÃ¶nntest,mocný
seht,vzhľad
aufhÃ¶ren,zlomiť
eigenen,vlastný
richtige,pravá
unserem,naša
suche,hľadať
zwar,to je
groÃŸ,vysoký
hol,držať
buch,kniha
krank,Chorý
fÃ¼hle,cítiť
jedes,každý
verstehst,rozumieť
wert,hodnota
arzt,lekára
froh,radostný
versuche,pokúšať sa
straÃŸe,ulica
rufen,kričať
heiraten,oženiť sa
super,Super
sam,samozrejmosť
lebt,životy
gutes,dobrý
lasse,laser
onkel,strýko
total,Celkom
gebracht,priniesla
party,strana
erklÃ¤ren,vysvetliť
spielt,hrať
wahl,voľba
vertrauen,dôverovať
damals,vtedy
tagen,dni
leicht,svetlo
nachdem,po
gegangen,preč
gefÃ¼hl,cítiť
kaufen,kúpiť
geschafft,hotový
typen,typy
interessiert,Záujem
mÃ¶chten,chcieť
halte,držať
hÃ¤lt,strašidelný
glaub,veria
irgendwo,niekde
stÃ¼ck,hromada
genauso,presne takto
kennt,rozdielny
genommen,podniknutý
zukunft,budúcnosť
weniger,menej
cool,chladný
licht,svetlo
getroffen,splniť
himmel,neba
nachricht,novinka
drÃ¼ben,obliecť si
passt,pasuje
sagten,povedz
kÃ¼mmern,starať sa
laut,nahlas
vergiss,zabudnúť
angerufen,nazývaný
sitzen,sedieť
daÃŸ,to
erde,Zeme
groÃŸer,väčší
schlÃ¼ssel,neohrabaný
rest,spočívať
passieren,stať sa
eher,skôr
gefragt,spýtal sa
gefÃ¤ngnis,plot
opfer,obeť
kÃ¶rper,štekať
solche,taký
mist,zatratený
mr,Pán
findet,Nájsť
schreiben,písať
bÃ¶se,základňa
gesprochen,hovorený
versuch,pokus
vorstellen,zaviesť
wovon,O čom
sobald,tak skoro ako
nochmal,ešte raz
herren,Pánske
sex,sex
waffen,zbrane
wohnung,byt
weh,boľavý
heiÃŸen,horúci
krankenhaus,nemocnica
bringe,priniesť
hÃ¶re,strela
millionen,milióny
klasse,Skvelý
hart,tvrdý
worden,bol
sinn,zmysel
auÃŸerdem,okrem
verletzt,ublížiť
Ã¤ndern,Zmena
erfahren,Skúsený
tragen,nosiť
wenigstens,najmenej
vorsichtig,opatrne
daddy,otec
stolz,hrdý
stark,silný
fÃ¤llt,napadnúť
mÃ¶chtest,muž
leuten,ľudia
besonders,obzvlášť
schÃ¶ne,krásny
schicken,poslať
person,osoba
schÃ¤tze,šachta
solange,tak dlho
lÃ¤nger,obruba
groÃŸartig,vysoký
lacht,smiech
anrufen,vyvolať
stand,stál
redest,rozprávať sa
fÃ¼hlen,cítiť
erwartet,očakávať
boden,podlaha
boss,šéf
stimme,hlas
glaubt,veriť
still,tichý
sicherheit,zabezpečenie
setz,sedenie
ma,mačka
mund,ústa
kÃ¤mpfen,boj
wisst,posmievať sa
lachen,smiech
hÃ¶rst,ponáhľať sa
zeug,vecí
lustig,zábavný
umbringen,zabiť
sollst,kratší
hasse,nenávisť
schlimm,hrozný
o,O
unglaublich,neuveriteľný
wÃ¤rst,možno
laden,naložiť
fÃ¼hren,ísť
gestorben,zomrel
schauen,sledovať
meinung,stanovisko
lesen,čítať
mÃ¶rder,marmen
frank,frankovať
Ã¤hm,Ohmný
geschehen,stať sa
geschÃ¤ft,podnik
idiot,idiot
verzeihung,odpustenie
fliegen,lietať
zeig,šou
team,tím
general,všeobecný
mike,mike
aufs,na
york,Jork
vorher,predtým
schluss,Dosť
schneller,rýchlejšie
liebt,milujúci
verdient,zaslúžený
mÃ¶gen,žalúdok
meisten,najviac
denk,myslieť si
umgebracht,zabitý
perfekt,Dokonalý
versprochen,sľúbený
handy,mobilné
hinten,vzadu
monate,mesiace
erinnere,vyvolať
acht,osem
arbeitet,pracuje
fallen,napadnúť
rufe,zavolať
nÃ¶tig,nevyhnutný
a,a
mord,vražda
heraus,von
tages,dňom
unmÃ¶glich,nemožný
liebling,obľúbený
charlie,Charlie
tatsÃ¤chlich,skutočný
folgen,sledovať
bitten,opýtať sa
behalten,uchovávať
nÃ¤he,Zavrieť
arbeite,práca
joe,hojdať sa
verdammte,zatratený
plÃ¶tzlich,náhle
lebens,život
hole,ísť
tisch,stôl
michael,Michael
hÃ¶rte,tvrdosť
jemals,vôbec
liegen,klamať
verkaufen,Predaj
gefÃ¤hrlich,nebezpečný
anfangen,začať
bekommt,dostane
machte,obťažovať
ha,Ha
hotel,hotel
hilft,Pomoc
werdet,stať sa
meister,majster
kampf,boj
antwort,odpovedať
konnten,bystrý
geschickt,poslať
jedem,každý
obwohl,hoci
sieben,sedem
komisch,podivný
gewinnen,vyhrať
ihres,Váš
bezahlt,zaplatený
you,vy
voller,plný
unterwegs,Na ceste
dumm,hlúpy
Ã¤rger,Ärger
bild,obraz
george,George
neu,Nový
bezahlen,zaplatiť
dagegen,proti tomu
seien,byť
starb,zomrel
tom,Tom
monaten,mesačný
leiche,mŕtvola
niemanden,nikto
auge,oku
arschloch,stopovať
verheiratet,ženatý
peter,Peter
zieh,sem
nimmt,trvať
gerettet,zachránený
agent,zástupca
traum,sen
entscheidung,rozhodnutie
schlimmer,horší
regeln,regulovať
fenster,okno
fangen,úlovok
fort,ďalej
stÃ¤ndig,vytrvalý
findest,Nájsť
gefahr,nebezpečenstvo
absolut,absolútne
mary,Maria
augenblick,moment
bescheid,výpoveď
rum,rum
gedanken,myšlienka
werd,byť
ziel,cieľ
benutzt,použitý
bewegung,Pohybovať sa
jemandem,niekto
wÃ¼nschte,priaznivý
worte,slová
kamen,prišiel
welcher,ktoré
zahlen,počítanie
anfang,začiatok
legen,miesto
erinnerst,zapamätať si
anwalt,advokát
fahr,jazda
sitzt,sedenie
hilf,Pomoc
offen,otvorené
schÃ¶nen,obťažovať
monsieur,monzún
mÃ¼sste,myš
arme,chudobný
bier,pivo
fÃ¼rs,pre
partner,partnera
klein,malý
david,David
klappe,chvenie
sÃ¼ÃŸ,sladký
herum,hereabuts
finger,prst
ehe,manželstvo
rolle,úloha
lieÃŸ,prenajatý
gleiche,rovnaký
monat,mesiac
hochzeit,manželstvo
max,Max
fÃ¼hrt,spojenie
paris,Paríž
wach,bdelý
wozu,za čo
arm,chudobný
geschrieben,napísaný
chef,šéf
benutzen,použit
informationen,informácie
erledigt,dokončený
hoffentlich,dúfajme
mÃ¼sst,myš
fÃ¼hlt,znečistenie
tanzen,tancovať
ansehen,pozri na
darfst,môcť
zuhause,Doma
wunderbar,Podivuhodný
hÃ¤ltst,päta
reise,výlet
gewonnen,vyhral
dame,pani
irgendwann,Niekedy
chffffff,Chvenie
alex,Alex
steckt,zasunutý
jedenfalls,v každom prípade
schreit,výkrik
tolle,úžasný
rÃ¼ber,nad
tschÃ¼ss,tch
nennt,sa nazýva
raum,priestoru
heiÃŸ,horúci
foto,fotografia
kalt,chladný
paul,paul
irgendetwas,čokoľvek
weile,zatiaľ čo
bisher,tak ďaleko
minute,minútu
unbedingt,Absolútne
zug,vlak
sekunden,sekundy
wofÃ¼r,pre ktoré
erzÃ¤hl,oblúk
nen,deväť
beweise,dôkaz
nahm,vzal
aller,všetko
freut,je šťastný
seele,duša
schieÃŸen,zastreliť
mÃ¼de,myš
dauert,trvá
magst,Páči sa mi to
harry,Hromadiť
brief,písmeno
gelernt,Učil sa
sucht,hľadá
bekannt,slávny
weitere,Ďalej
unfall,nehoda
dahin,tam
kontrolle,kontrola
beispiel,príklad
lady,pani
dasselbe,to isté
herzen,Srdce
schlagen,poraziť
wÃ¼tend,hnevá
weise,cesta
damen,Dámske
darin,v tomto
gottes,Boha
holt,dostať sa
fehlt,chýba
vorsicht,opatrnosť
heiÃŸe,horúci
beweisen,dokázať
gehabt,falošný
zumindest,najmenej
vermisst,chýbajúci
hÃ¼bsch,pekný
kriegt,wart
verbindung,spojenie
tief,hlboký
richtung,smer
lage,pozícia
sowieso,rovnako
kraft,moc
normal,normálny
lauf,spustiť
ehre,česť
stell,nasadiť sa
geschenk,prítomný
bar,bar
tasche,vrecko
gelesen,čítal
gekauft,Kúpil
wussten,vedel
gestohlen,ukradnutý
hunger,hlad
leg,nohy
lÃ¼gen,stratiť
beziehung,vzťahu
ben,bledý
verschwunden,zmiznutý
steh,postaviť sa
nÃ¤chstes,Ďalšie
gearbeitet,pracujúci
preis,cena
witz,vtip
meinte,priemerný
liste,zoznam
geist,duch
neben,Ďalšie
gesucht,vyhľadávaný
firma,spoločnosť
sÃ¼ÃŸe,sladký
rÃ¼cken,vráť sa
schrecklich,hrozný
letzter,posledný
verliebt,zamilovaný
Ã¶ffnen,Otvorené
redet,rozprávať sa
boot,čln
seltsam,podivný
versteckt,skrytý
fÃ¼rchte,strach
verschwinde,zmiznúť
erwischt,Zachytený
verkauft,predaný
tante,teta
erwarten,očakávať
pferd,kôň
wunder,zázrak
sauer,hnevá
vermutlich,údajne
nÃ¤her,blízkosť
major,hlavný
jung,mladý
majestÃ¤t,majestátne
aussehen,vzhľad
ans,na
de,de
and,a
links,Vľavo
groÃŸes,skvelý
welches,ktoré
beschÃ¼tzen,chrániť
geboren,narodený
erreichen,dosahovať
punkt,Bod
kindern,deťom
kirche,kostol
verraten,odhaliť
selber,sám
befehl,príkaz
colonel,Plukovník
fÃ¤hrt,skočiť
zieht,sem
geburtstag,dátum narodenia
haut,koža
wette,stávka
reich,bohatý
sekunde,druhý
fahre,odhaliť
schwÃ¶re,miláčik
geredet,rozptýlený
james,jasný
madame,madam
eigene,vlastný
zeiten,čas
traurig,Smutný
anruf,Zavolať
nachrichten,Správa
frieden,mier
karte,mapovať
gÃ¼te,kravata
euren,ísť
diesmal,tentokrát
schade,aká škoda
persÃ¶nlich,osobne
kriege,vojny
stirbt,umierajúci
bleibe,pobyt
verÃ¤ndert,zmenený a doplnený
sonne,slnko
lieb,drahá
nÃ¤mlich,konkrétne
letztes,posledný
bekam,mať
ruft,výzvy
professor,profesor
gericht,pokrm
nase,nos
ewig,navždy
singen,spievať
bank,breh
beschÃ¤ftigt,chybný
computer,počítač
yeah,jo
toten,zabiť
weihnachten,Vianoce
offensichtlich,zrejme
naja,Oh dobre
henry,hendika
gefÃ¼hle,cítiť
fuÃŸ,nohy
show,šou
Ã¼berraschung,Prekvapenie
geheimnis,tajný
fbi,Fbi
kontakt,Kontakt
gold,zlato
drogen,drogy
regierung,vláda
wein,víno
kriegst,dostať sa
ermordet,zavraždený
fotos,fotografia
entfernt,odstránený
geschlafen,spánok
manche,nejaký
erledigen,postarať sa o
ran,vyberať
gegenÃ¼ber,oproti
schlaf,spánok
lust,túžba
wunderschÃ¶n,nádherný
witzig,vtipný
nick,nick
zerstÃ¶rt,zničený
Ã¼brigens,Dohľad
willen,píliť
heim,Domov
richtigen,správny
deines,Váš
namens,nazývaný
zeigt,zobrazí
geliebt,Miloval
gehÃ¶ren,patriť
brachte,priniesla
herrn,Pán
blick,vyhliadka
besuch,návšteva
schlechte,zlý
bewegen,pohybovať sa
haare,vlasy
antworten,odpovedať
prÃ¤sident,prezident
sagtest,posudzovaný
hoffnung,nádej
stecken,dať
lebe,žiť
rechts,doprava
interessant,Zaujímavý
entscheiden,rozhodnúť sa
miteinander,zhrnutie
meint,prostriedok
liebst,krásny
indem,vykonávaním
bleibst,pobyt
kÃ¼mmere,tesár
wohnen,bývať
weder,ani
mÃ¶glichkeit,možnosť
kaputt,rozbitý
bekomme,dostať sa
flugzeug,rovina
vergangenheit,minulosť
anderer,ďalší
zweite,druhý
armee,armáda
jim,Džbán
tee,čaj
entweder,buď
weiss,biely
don,Don
detective,detektív
aufhalten,zastávka
stellt,nasadiť sa
verspreche,sľubný
Ã¼berrascht,Prekvapený
sauber,čistý
hau,prenasledovať
mark,známka
schlag,punč
sheriff,šerif
untertitel,podtitul
setzt,dusiť
frag,otázka
vaters,otec
nervÃ¶s,Nervózny
gesellschaft,spoločnosť
verstecken,skryť
schuldig,vinný
hals,hrdlo
schÃ¼tzen,vzhľad
besuchen,navštíviť
of,z
passen,fit
Ã¼berleben,Prežitie
erhalten,získať
teilen,rozdeliť
gebÃ¤ude,budovanie
schicksal,osud
zeichen,znak
richter,sudca
besorgt,dotknutý
kÃ¼che,kuchyňa
lief,vyberať
vergnÃ¼gen,potešenie
wÃ¼sste,zápas
volk,ľudia
lhr,Lohr
herausfinden,zistiť
kÃ¶nigin,kráľovná
soldaten,vojaci
feiern,oslavovať
situation,situácia
lag,ležať
gelassen,pokojne
allerdings,Naozaj
soweit,tak ďaleko
gefahren,nebezpečenstvo
verstand,pochopenie
bord,výbor
schÃ¶nes,krásny
jimmy,Džínsový
billy,bilie
angefangen,začať
lee,lee
fÃ¼hlst,cítiť
bob,bob
mussten,mať
rat,poradenstvo
worauf,čo
gebeten,modlitba
tony,tony
kamera,fotoaparát
achtung,Pozornosť
lieutenant,Poručík
ganzes,celok
schuhe,obuv
sarah,Sarah
glÃ¼ckwunsch,šťastie
niemandem,nikto
gibst,dať
statt,namiesto
Ã¼bernehmen,Prevziať
gegend,oblasť
wald,les
al,alarm
la,la
nimmst,podať
danny,Dadny
erkennen,detekovať
glas,Sklo
falsche,falošný
verantwortlich,zodpovedný
jesus,Ježiš
stÃ¶hnt,zázvor
herein,v
kleid,šaty
zerstÃ¶ren,zničiť
jawohl,Áno
london,Londýn
gegessen,jedovatý
abendessen,Večera
gesetz,právo
gemeinsam,spoločne
geholfen,Pomoc
erster,najprv
wohnt,milovník
schritt,krok
guck,vzhľad
nahe,okolie
aussieht,vzhľad
beginnen,začať
dachten,myšlienka
band,páska
ungefÃ¤hr,o
aufgabe,úloha
neun,deväť
furchtbar,hrozný
drinnen,vnútri
zuvor,predtým
charles,Charles
freue,som šťastný
amerika,America
Ã¼brig,Nekonzistentný
spur,trať
falschen,falošný
sergeant,seržant
melden,správa
helfe,Pomoc
werfen,hodiť sa
bill,bill
haltet,držanie
erinnert,pripomenúť
hÃ¤ngt,visieť
freude,radosť
ehemann,manželka
erschossen,strela
verzeihen,odpustiť
schwein,prasa
uh,uhorka
monster,monštrum
entschieden,rozhodnutý
mission,poslanie
verdammten,zatratený
brauch,vlastný
gewusst,vedel
vorne,"pred, vpredu"
stopp,zastávka
Ã¼bel,Zamiešať
schlampe,pobehlica
schÃ¶ner,scénický
adresse,adresa
unsinn,nezmysel
messer,nôž
gesund,zdravý
respekt,úcta
pro,Za
leisten,Dovoliť
davor,predtým
richard,Richard
bedeuten,priemerný
ball,loptička
mitnehmen,vezmite si
gespielt,prehral
to,na
schwierigkeiten,problém
hÃ¤lfte,polovica
kannte,vedel
stehe,stáť
maria,Maria
planeten,planéta
schwanger,tehotná
gruppe,skupina
anna,Anna
verhaftet,zatknutý
deal,obchod
seines,jeho
irgendwelche,akýkoľvek
hÃ¤nden,ruky
versteht,rozumie
drehen,točiť sa
eis,zmrzlina
danken,poďakovať
erfolg,úspech
zufrieden,spokojný
schlieÃŸen,Zavrieť
besorgen,získať
wochenende,víkend
worÃ¼ber,vlovo
stimmen,hlasy
nehmt,podnik
martin,Martin
m,m
witze,vtip
beine,nohy
verbrechen,zločin
bericht,správa
nachts,v noci
eurer,váš
prinzessin,princezná
schmerz,bolesť
klingelt,krúžky
